k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44,Phi51,Phi52,Phi53,Phi54,Phi61,Phi62,Phi63,Phi64,Phi71,Phi72,Phi73,Phi74,Phi81,Phi82,Phi83,Phi84,Phi91,Phi92,Phi93,Phi94
1.1814,1,1,1,1,1,1,1,1,1,51.87,280.1,462.99,615.29,691.66,925.93,967.31,1234.9,1291,0.54804,-0.29556,-0.29566,0.54794,0.32381,-0.033608,-0.030662,0.32365,-0.21802,-0.4306,0.43493,0.21518,-0.00035815,-0.0015094,0.0011133,0.00068918,0.11863,0.43922,0.42874,0.10955,-0.0036709,-0.010422,-0.0007979,0.0024492,0.022603,-0.031936,0.050867,-0.0068329,0.0021223,0.011475,0.005527,0.00012213,0.052603,0.42894,0.49503,0.09682
1.001,1,1,1,1,1,1,1,1,1,51.867,279.79,461.9,614.19,688.96,922.62,961.42,1227.9,1283.1,-0.54811,0.29558,0.29562,-0.5479,-0.32332,0.031581,0.031723,-0.32348,-0.21507,-0.43257,0.43252,0.2153,-0.00048351,-0.0014978,0.0013966,0.00078387,-0.1109,-0.43227,-0.43039,-0.11023,0.003806,0.010584,0.00061945,-0.002451,-0.0076847,0.049746,-0.039816,0.0089914,0.0023122,0.010198,0.0053044,0.00024664,0.072033,0.43636,0.49045,0.095165
0.57413,1,1,1,1,1,1,1,1,1,51.854,278.39,456.94,608.53,676.58,904.52,935.52,1189.6,1250.5,0.54842,-0.29564,-0.29546,0.54775,0.32056,-0.022552,-0.036432,0.32265,0.20002,0.44069,-0.42129,-0.2158,-0.001454,-0.0012762,0.0035579,0.0015051,-0.072301,-0.39812,-0.43689,-0.11319,-0.0066987,-0.014879,-0.00096556,0.0021115,-0.061311,-0.12653,-0.0082841,-0.018435,-0.00059003,-0.0011275,-0.00090689,-0.00016846,-0.15497,-0.45697,-0.46768,-0.087968
0.8594,1,1,1,1,1,1,1,1,1,51.864,279.46,460.76,612.98,686.12,918.9,955.31,1219.9,1275.1,-0.54819,0.29559,0.29558,-0.54787,-0.32275,0.029479,0.032822,-0.32329,-0.21183,-0.43456,0.42998,0.21542,0.00064451,0.0014723,-0.0017593,-0.00090594,-0.10247,-0.42476,-0.43203,-0.11094,0.0040882,0.010999,0.00049654,-0.0024355,0.0082071,0.068142,-0.028377,0.011228,0.0021834,0.0082018,0.0044461,0.0002618,-0.092169,-0.44296,-0.48541,-0.09345
0.8545,1,1,1,1,1,1,1,1,1,51.864,279.45,460.71,612.93,686.01,918.75,955.06,1219.6,1274.8,-0.54819,0.29559,0.29558,-0.54787,-0.32273,0.029395,0.032866,-0.32329,0.2117,0.43463,-0.42987,-0.21543,-0.00065164,-0.001471,0.0017754,0.00091134,0.10213,0.42445,0.43209,0.11096,-0.0041032,-0.011022,-0.00049337,0.0024343,-0.0088468,-0.068872,0.027922,-0.011317,-0.0021707,-0.0081091,-0.0043999,-0.00026022,-0.092967,-0.4432,-0.48521,-0.093382
1.0648,1,1,1,1,1,1,1,1,1,51.869,279.91,462.32,614.62,690.01,923.93,963.7,1230.7,1286.1,-0.54808,0.29557,0.29564,-0.54791,0.32352,-0.032366,-0.031312,0.32354,-0.21623,-0.43181,0.43346,0.21525,-0.00043171,-0.0015036,0.0012797,0.00074465,0.11394,0.43499,0.42976,0.10997,-0.0037402,-0.010496,-0.00068292,0.0024516,0.013516,-0.042853,0.044095,-0.0081557,-0.0022716,-0.010769,-0.0054634,-0.00021166,0.064497,0.43361,0.49226,0.095806
0.42735,1,1,1,1,1,1,1,1,1,51.844,277.36,453.17,603.54,667.27,887.55,917.77,1157.3,1230.1,0.54862,-0.29569,-0.29534,0.54765,0.31804,-0.015886,-0.039892,0.32198,-0.1872,-0.44591,0.41255,0.21612,0.0027756,0.00095938,-0.0063333,-0.0024156,0.040869,0.37028,0.44083,0.11533,-0.012357,-0.022664,-0.003393,0.0012751,0.10997,0.17719,0.040851,0.024901,-0.004081,-0.0080484,-0.0047522,-0.00047356,-0.20654,-0.46121,-0.45057,-0.083177
1.601,1,1,1,1,1,1,1,1,1,51.875,280.59,464.66,616.87,695.75,930.54,976.32,1244.4,1303.2,-0.54791,0.29554,0.29572,-0.54799,0.32447,-0.036746,-0.029015,0.32389,0.22221,0.42745,-0.43859,-0.21499,-0.00021405,-0.0015123,0.00077755,0.00058189,-0.12972,-0.44941,-0.42604,-0.10847,0.0036415,0.01053,0.0011436,-0.0024415,-0.044506,0.0045436,-0.067866,0.0035021,-0.0014042,-0.012277,-0.0047288,0.00027876,-0.023224,-0.41545,-0.50142,-0.099346
1.156,1,1,1,1,1,1,1,1,1,51.87,280.06,462.85,615.16,691.33,925.53,966.58,1234,1290,-0.54805,0.29557,0.29565,-0.54793,0.32376,-0.033356,-0.030794,0.32362,-0.21766,-0.43084,0.43464,0.2152,0.00037225,0.0015085,-0.0011452,-0.00069979,0.1177,0.43837,0.42895,0.10964,0.0036818,0.010431,0.00077335,-0.0024499,0.020778,-0.034147,0.049496,-0.0071008,-0.0021602,-0.011352,-0.0055327,-0.00014363,0.055006,0.42992,0.49448,0.096615
1.2665,1,1,1,1,1,1,1,1,1,51.872,280.22,463.41,615.7,692.69,927.13,969.56,1237.4,1294,0.54801,-0.29556,-0.29567,0.54795,-0.32399,0.034387,0.030253,-0.32371,0.2191,0.42983,-0.43585,-0.21513,0.00031698,0.0015113,-0.0010195,-0.00065831,-0.12149,-0.44182,-0.42808,-0.10928,0.0036462,0.010412,0.00087745,-0.0024465,-0.0282,0.025093,-0.055111,0.0060034,-0.0019825,-0.011798,-0.0054509,-4.485e-05,-0.045188,-0.42582,-0.49671,-0.097454
