k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44
1,1.1731,1,1,1,1,1,1,1,1,51.909,143.68,283.05,468.92,-0.6207,0.33543,0.33684,-0.6235,-0.48787,0.51012,-0.50769,0.49397,-0.70308,0.095591,0.034023,-0.70383,0.31948,0.60923,-0.65464,-0.31338
1,0.63982,1,1,1,1,1,1,1,1,51.538,139.94,268.66,441.21,-0.63029,0.33443,0.33023,-0.61793,-0.51354,0.4917,-0.50492,0.48946,0.69563,0.045599,-0.17259,0.69587,0.28351,0.68408,-0.58591,-0.32919
1,1.0815,1,1,1,1,1,1,1,1,51.868,143.28,281.43,465.38,-0.62097,0.3361,0.33662,-0.623,-0.49036,0.50841,-0.50736,0.49361,-0.70679,0.069812,0.04232,-0.7027,0.31631,0.62026,-0.64509,-0.31478
1,0.89505,1,1,1,1,1,1,1,1,51.741,142.24,277.25,456.84,-0.62332,0.33608,0.33493,-0.62157,-0.49796,0.50292,-0.50674,0.49226,-0.71649,-0.014403,0.045768,-0.69594,0.30707,0.64495,-0.62304,-0.3187
1,0.94958,1,1,1,1,1,1,1,1,51.785,142.58,278.63,459.55,-0.62221,0.33642,0.3357,-0.62207,-0.49566,0.50476,-0.50683,0.4926,-0.71303,0.019755,0.050354,-0.69904,0.31023,0.63741,-0.62988,-0.31736
1,1.2232,1,1,1,1,1,1,1,1,51.927,143.87,283.85,470.7,-0.62062,0.33505,0.33691,-0.62375,-0.48612,0.51137,-0.50769,0.4944,-0.70104,0.10702,0.028952,-0.70445,0.32093,0.60351,-0.65953,-0.31273
1,1.135,1,1,1,1,1,1,1,1,51.894,143.52,282.4,467.49,-0.62078,0.33572,0.33677,-0.6233,-0.48913,0.50932,-0.50751,0.49374,-0.70462,0.085353,0.037263,-0.70345,0.31824,0.61375,-0.65077,-0.31392
1,0.85073,1,1,1,1,1,1,1,1,51.703,141.93,275.94,454.5,-0.62456,0.33557,0.33407,-0.62106,-0.49953,0.50191,-0.50635,0.49211,-0.72118,-0.070316,0.019986,-0.68888,0.30415,0.65127,-0.61723,-0.31994
1,0.96213,1,1,1,1,1,1,1,1,51.794,142.65,278.93,460.15,-0.62202,0.33645,0.33584,-0.62218,-0.49525,0.50497,-0.50698,0.49265,-0.71262,0.02641,0.050885,-0.6992,0.3109,0.63571,-0.6314,-0.31708
1,1.328,1,1,1,1,1,1,1,1,51.956,144.23,285.34,474.11,-0.62047,0.33432,0.33704,-0.62422,-0.48346,0.51308,-0.50803,0.49489,-0.69716,0.12882,0.019433,-0.70498,0.32343,0.59215,-0.66908,-0.31159
1,1.6375,1,1,1,1,1,1,1,1,52.009,145.06,288.76,482.24,-0.61986,0.33289,0.33749,-0.62535,-0.47773,0.51649,-0.50884,0.49607,-0.6869,0.17616,-0.0046124,-0.70506,0.32773,0.56319,-0.69256,-0.30947
1,1.1551,1,1,1,1,1,1,1,1,51.902,143.6,282.75,468.25,-0.62073,0.33557,0.33681,-0.62341,-0.48863,0.50961,-0.50765,0.49379,-0.70424,0.09024,0.035189,-0.70333,0.31891,0.61136,-0.65282,-0.31363
1,0.65468,1,1,1,1,1,1,1,1,51.546,140.12,269.29,442.27,-0.63006,0.33423,0.33039,-0.61818,-0.51211,0.49306,-0.50479,0.48972,0.69589,0.034107,-0.17154,0.69653,0.28544,0.68163,-0.58835,-0.32826
1,1.6072,1,1,1,1,1,1,1,1,52.005,144.99,288.48,481.55,-0.61993,0.33299,0.33744,-0.62526,-0.47838,0.51606,-0.5088,0.49594,-0.68767,0.17236,-0.0025904,-0.70526,0.32745,0.56576,-0.69052,-0.30962
1,0.88508,1,1,1,1,1,1,1,1,51.733,142.17,276.98,456.33,-0.62357,0.33598,0.33476,-0.62147,-0.49855,0.50257,-0.50664,0.49212,-0.71775,-0.021454,0.044145,-0.69457,0.30644,0.64636,-0.62176,-0.31896
1,1.7344,1,1,1,1,1,1,1,1,52.02,145.26,289.61,484.31,-0.61962,0.33264,0.33765,-0.62563,-0.47589,0.51786,-0.5088,0.49646,-0.68365,0.18808,-0.010412,-0.70508,0.32845,0.55534,-0.6987,-0.30908
1,0.91005,1,1,1,1,1,1,1,1,51.753,142.33,277.65,457.61,-0.62298,0.33622,0.33516,-0.6217,-0.49685,0.50372,-0.50674,0.49255,-0.71573,-0.0042046,0.048137,-0.6967,0.308,0.64284,-0.62495,-0.31832
1,1.1878,1,1,1,1,1,1,1,1,51.915,143.73,283.29,469.45,-0.62067,0.33532,0.33687,-0.62358,-0.48719,0.51061,-0.50768,0.49415,-0.70268,0.098331,0.032087,-0.70395,0.31993,0.60753,-0.6561,-0.31318
1,0.95114,1,1,1,1,1,1,1,1,51.786,142.59,278.67,459.63,-0.62219,0.33643,0.33572,-0.62209,-0.49563,0.50477,-0.50685,0.4926,-0.71266,0.02096,0.050627,-0.69937,0.31031,0.6372,-0.63007,-0.31732
1,1.1229,1,1,1,1,1,1,1,1,51.888,143.46,282.19,467.03,-0.62082,0.33581,0.33674,-0.62323,-0.48927,0.50925,-0.50742,0.49377,-0.70537,0.082213,0.038689,-0.70299,0.31782,0.6152,-0.64951,-0.3141
1,0.66373,1,1,1,1,1,1,1,1,51.552,140.22,269.67,442.91,-0.6299,0.33412,0.33051,-0.61835,-0.51167,0.49315,-0.50502,0.48985,0.69491,0.026634,-0.17164,0.6978,0.28657,0.68014,-0.58982,-0.32772
1,0.64028,1,1,1,1,1,1,1,1,51.538,139.95,268.68,441.24,-0.63028,0.33443,0.33024,-0.61793,-0.51348,0.49175,-0.50491,0.48947,0.69557,0.045048,-0.1727,0.69593,0.28357,0.684,-0.58599,-0.32916
1,1.4723,1,1,1,1,1,1,1,1,51.985,144.66,287.09,478.21,-0.62022,0.33353,0.33723,-0.62479,-0.48049,0.5149,-0.50843,0.49549,-0.69212,0.15314,0.0072009,-0.70531,0.3259,0.57786,-0.68081,-0.31041
1,1.4243,1,1,1,1,1,1,1,1,51.977,144.53,286.54,476.92,-0.62031,0.33376,0.33716,-0.62462,-0.48185,0.51393,-0.50841,0.49519,-0.69407,0.14518,0.010762,-0.70504,0.32518,0.58246,-0.67708,-0.31075
1,0.89957,1,1,1,1,1,1,1,1,51.745,142.27,277.37,457.08,-0.62322,0.33613,0.335,-0.62161,-0.49762,0.50314,-0.50676,0.49235,-0.71548,-0.0090801,0.048233,-0.69691,0.30736,0.64431,-0.62362,-0.31859
1,1.0665,1,1,1,1,1,1,1,1,51.86,143.2,281.14,464.77,-0.62104,0.33619,0.33656,-0.62291,-0.49119,0.50782,-0.50737,0.49339,-0.7071,0.066281,0.044364,-0.7026,0.31571,0.62214,-0.64345,-0.31503
1,0.87054,1,1,1,1,1,1,1,1,51.72,142.07,276.56,455.56,-0.62396,0.33581,0.33448,-0.6213,-0.49899,0.50239,-0.50642,0.49209,-0.7203,-0.038446,0.036739,-0.69162,0.30549,0.64843,-0.61986,-0.31936
1,0.96345,1,1,1,1,1,1,1,1,51.795,142.66,278.96,460.21,-0.622,0.33646,0.33586,-0.62219,-0.49519,0.505,-0.50699,0.49267,-0.71268,0.026657,0.0506,-0.69916,0.31097,0.63553,-0.63156,-0.31705
1,0.62205,1,1,1,1,1,1,1,1,51.529,139.72,267.87,439.9,-0.63052,0.3347,0.33009,-0.61763,-0.51499,0.49084,-0.50452,0.48921,0.69503,0.058759,-0.17584,0.69467,0.28104,0.68706,-0.58297,-0.33033
1,1.0206,1,1,1,1,1,1,1,1,51.833,142.97,280.22,462.81,-0.62135,0.3364,0.33632,-0.62261,-0.49259,0.50695,-0.50705,0.49321,-0.70906,0.050953,0.048258,-0.70165,0.31375,0.62799,-0.63829,-0.31587
1,0.66122,1,1,1,1,1,1,1,1,51.55,140.19,269.57,442.73,-0.62994,0.33415,0.33048,-0.61831,-0.51178,0.49315,-0.50494,0.48981,0.6953,0.029633,-0.17078,0.69751,0.28626,0.68055,-0.58941,-0.32787
1,1.011,1,1,1,1,1,1,1,1,51.827,142.92,280.01,462.39,-0.62144,0.33644,0.33626,-0.62254,-0.49273,0.50681,-0.50701,0.49324,-0.70989,0.046001,0.048064,-0.70117,0.31331,0.62924,-0.63718,-0.31606
1,0.72996,1,1,1,1,1,1,1,1,51.598,140.92,272.15,447.35,-0.62843,0.334,0.33148,-0.61939,-0.50667,0.49669,-0.50568,0.49079,0.68821,-0.043635,-0.18521,0.70011,0.294,0.66949,-0.60011,-0.32436
1,0.67124,1,1,1,1,1,1,1,1,51.556,140.31,269.98,443.44,-0.62977,0.33406,0.33059,-0.61847,-0.5112,0.4933,-0.50526,0.48995,0.69555,0.02217,-0.1698,0.69777,0.2875,0.67891,-0.59102,-0.3273
1,0.86182,1,1,1,1,1,1,1,1,51.712,142.01,276.3,455.1,-0.62422,0.33571,0.33431,-0.6212,-0.49914,0.50229,-0.50634,0.49213,-0.72052,-0.050982,0.030587,-0.69088,0.30491,0.64968,-0.61871,-0.31961
1,0.88252,1,1,1,1,1,1,1,1,51.73,142.15,276.91,456.19,-0.62363,0.33595,0.33471,-0.62144,-0.49867,0.50252,-0.5066,0.4921,-0.71736,-0.023342,0.043514,-0.69495,0.30627,0.64672,-0.62142,-0.31903
1,1.2197,1,1,1,1,1,1,1,1,51.926,143.86,283.79,470.58,-0.62062,0.33508,0.33691,-0.62373,-0.48618,0.51134,-0.50768,0.4944,-0.70133,0.10592,0.029103,-0.70432,0.32084,0.6039,-0.6592,-0.31277
1,0.94376,1,1,1,1,1,1,1,1,51.78,142.54,278.49,459.27,-0.62231,0.33641,0.33563,-0.62202,-0.49576,0.50471,-0.50677,0.49263,-0.71386,0.016934,0.050656,-0.69825,0.30991,0.6382,-0.62917,-0.31749
1,1.0985,1,1,1,1,1,1,1,1,51.877,143.35,281.75,466.07,-0.6209,0.33599,0.33667,-0.62309,-0.48967,0.50894,-0.50733,0.49378,-0.70634,0.075089,0.041001,-0.70269,0.31695,0.61816,-0.64693,-0.31449
1,0.97383,1,1,1,1,1,1,1,1,51.802,142.72,279.19,460.7,-0.62185,0.33647,0.33596,-0.62227,-0.4946,0.50537,-0.50706,0.49282,-0.71105,0.032089,0.050766,-0.70057,0.31151,0.63414,-0.63281,-0.31683
1,1,0.52973,1,1,1,1,1,1,1,50.123,132.39,264.84,453.92,-0.64604,0.34883,0.31367,-0.60213,-0.50378,0.48387,-0.51368,0.4982,0.61654,0.066294,-0.20777,0.75651,0.28045,0.65531,-0.62209,-0.32391
1,1,0.95888,1,1,1,1,1,1,1,51.696,142.26,278.74,461.35,-0.624,0.33591,0.3342,-0.62137,-0.49434,0.50482,-0.50751,0.49317,-0.70719,0.026545,0.052082,-0.7046,0.31055,0.63228,-0.63523,-0.31664
1,1,1.016,1,1,1,1,1,1,1,51.864,143.09,280.17,462.1,-0.62131,0.33597,0.33649,-0.6228,-0.49349,0.50651,-0.50697,0.49284,-0.71091,0.048758,0.04801,-0.69994,0.31373,0.63002,-0.6362,-0.31606
1,1,0.99111,1,1,1,1,1,1,1,51.794,142.74,279.56,461.78,-0.62184,0.33656,0.3359,-0.62226,-0.49368,0.50587,-0.50723,0.49305,-0.70982,0.038529,0.049433,-0.70159,0.3123,0.63103,-0.63575,-0.31638
1,1,1.2431,1,1,1,1,1,1,1,52.189,145.82,285.11,464.72,-0.61676,0.33156,0.34071,-0.62736,-0.48821,0.5116,-0.50611,0.49372,-0.72346,0.10382,0.017283,-0.68229,0.32642,0.62134,-0.63994,-0.31283
1,1,1.4581,1,1,1,1,1,1,1,52.472,147.77,288.98,466.8,-0.61502,0.32721,0.34286,-0.63018,-0.48445,0.51478,-0.50575,0.49449,-0.72992,0.14308,-0.0074117,-0.66835,0.33683,0.61432,-0.64261,-0.31018
1,1,1.3907,1,1,1,1,1,1,1,52.419,147.21,287.84,466.19,-0.61495,0.3291,0.34267,-0.62937,-0.48552,0.51415,-0.50568,0.49418,-0.7284,0.13203,0.00051354,-0.67231,0.33356,0.6165,-0.64176,-0.31113
1,1,1.7765,1,1,1,1,1,1,1,52.734,149.94,293.63,469.38,-0.60839,0.32707,0.34806,-0.63382,-0.47904,0.51884,-0.50523,0.49605,-0.73486,0.1857,-0.037593,-0.65122,0.34945,0.60581,-0.64529,-0.30738
1,1,1.1878,1,1,1,1,1,1,1,52.096,145.23,284,464.13,-0.61966,0.33055,0.33855,-0.62622,-0.48891,0.51086,-0.50623,0.49368,-0.72085,0.092161,0.024356,-0.68651,0.32379,0.62316,-0.63928,-0.31329
1,1,0.80309,1,1,1,1,1,1,1,51.337,139.54,274.11,459.09,-0.62813,0.34106,0.33006,-0.6166,-0.49785,0.4999,-0.5086,0.49353,-0.70704,-0.13281,-0.0095554,-0.69452,0.30017,0.63965,-0.63147,-0.31937
1,1,0.91136,1,1,1,1,1,1,1,51.582,141.5,277.49,460.7,-0.62732,0.33511,0.33166,-0.61982,-0.49516,0.50394,-0.50755,0.49321,-0.70497,0.0034574,0.053383,-0.70722,0.30785,0.63423,-0.63438,-0.31709
1,1,0.88975,1,1,1,1,1,1,1,51.55,141.14,276.89,460.39,-0.62787,0.33579,0.33113,-0.61917,-0.49602,0.50294,-0.50776,0.49315,-0.70306,-0.0065642,0.053924,-0.70905,0.30643,0.63523,-0.63388,-0.31745
1,1,1.1576,1,1,1,1,1,1,1,52.057,144.89,283.37,463.79,-0.62076,0.33053,0.33769,-0.62559,-0.48993,0.5099,-0.50641,0.49348,-0.71929,0.085024,0.027872,-0.68892,0.32223,0.62423,-0.63887,-0.31361
1,1,1.1144,1,1,1,1,1,1,1,52.015,144.38,282.44,463.3,-0.62153,0.33148,0.33698,-0.62471,-0.49078,0.50919,-0.50646,0.49332,-0.71696,0.074703,0.033881,-0.69228,0.31983,0.62588,-0.63816,-0.31423
1,1,0.5983,1,1,1,1,1,1,1,50.564,134.59,267.53,455.41,-0.64026,0.3465,0.31907,-0.6068,-0.50276,0.48943,-0.51156,0.49598,0.63202,0.028317,-0.19396,0.74975,0.2855,0.65094,-0.62496,-0.32279
1,1,1.0571,1,1,1,1,1,1,1,51.95,143.65,281.14,462.61,-0.62154,0.33391,0.33665,-0.62359,-0.49244,0.50763,-0.50679,0.49293,-0.71353,0.060833,0.042841,-0.69666,0.31631,0.62826,-0.63704,-0.31531
1,1,0.96308,1,1,1,1,1,1,1,51.708,142.32,278.85,461.41,-0.62366,0.33606,0.33446,-0.62149,-0.49398,0.50518,-0.50742,0.49325,-0.70777,0.028375,0.052179,-0.70394,0.31078,0.63212,-0.6353,-0.31662
1,1,1.2519,1,1,1,1,1,1,1,52.206,145.91,285.29,464.81,-0.61634,0.3317,0.34104,-0.62753,-0.48823,0.51153,-0.5062,0.49369,-0.72337,0.10651,0.016744,-0.68199,0.32683,0.62106,-0.64004,-0.31276
1,1,0.96849,1,1,1,1,1,1,1,51.725,142.4,278.99,461.48,-0.62323,0.33624,0.33478,-0.62165,-0.49369,0.50559,-0.50725,0.49329,-0.70877,0.029194,0.050914,-0.703,0.31106,0.63191,-0.63538,-0.31657
1,1,1.2599,1,1,1,1,1,1,1,52.221,145.99,285.44,464.9,-0.61599,0.33181,0.34131,-0.62767,-0.48789,0.51175,-0.50621,0.49379,-0.72399,0.10794,0.015863,-0.68113,0.32721,0.6208,-0.64012,-0.3127
1,1,1.2281,1,1,1,1,1,1,1,52.162,145.66,284.82,464.56,-0.61756,0.33126,0.34011,-0.62706,-0.48804,0.51159,-0.50616,0.49386,-0.72234,0.10127,0.019532,-0.68381,0.32573,0.62182,-0.63977,-0.31295
1,1,0.9218,1,1,1,1,1,1,1,51.602,141.67,277.77,460.85,-0.62682,0.33499,0.33207,-0.62017,-0.49534,0.50366,-0.50769,0.49316,-0.70511,0.0090948,0.05283,-0.70707,0.30847,0.63378,-0.6346,-0.31695
1,1,0.37457,1,1,1,1,1,1,1,48.809,125.86,257.76,449.76,-0.6611,0.36002,0.29826,-0.58684,-0.50232,0.46734,-0.5207,0.50808,0.56066,0.15537,-0.25668,0.77177,0.26776,0.6677,-0.61254,-0.32752
1,1,0.55798,1,1,1,1,1,1,1,50.296,133.34,265.97,454.55,-0.64231,0.34903,0.31676,-0.60438,-0.50337,0.48604,-0.51291,0.49729,0.62305,0.049438,-0.2023,0.75395,0.28224,0.65361,-0.62317,-0.32372
1,1,0.92962,1,1,1,1,1,1,1,51.618,141.8,277.98,460.95,-0.62636,0.33505,0.33243,-0.62041,-0.49496,0.50395,-0.50771,0.49322,-0.7063,0.012229,0.052665,-0.70585,0.30894,0.63345,-0.63474,-0.31687
1,1,0.85052,1,1,1,1,1,1,1,51.494,140.44,275.76,459.82,-0.62801,0.3381,0.33071,-0.618,-0.49706,0.50171,-0.50806,0.49304,-0.70344,-0.035572,0.048707,-0.70819,0.30359,0.63721,-0.6328,-0.31837
1,1,0.86102,1,1,1,1,1,1,1,51.512,140.63,276.07,459.97,-0.62806,0.33738,0.33077,-0.61831,-0.4967,0.50216,-0.50788,0.49313,-0.70304,-0.02509,0.051858,-0.70881,0.30437,0.63667,-0.63311,-0.31809
1,1,0.77566,1,1,1,1,1,1,1,51.21,138.99,271.39,458.65,-0.63082,0.34015,0.32792,-0.61549,-0.4987,0.49834,-0.50909,0.49375,-0.43919,-0.70206,-0.52362,-0.20012,0.29858,0.64087,-0.63089,-0.31954
1,1,0.4843,1,1,1,1,1,1,1,49.819,130.74,262.83,452.83,-0.6483,0.35303,0.31088,-0.59869,-0.50333,0.48057,-0.51503,0.50045,0.60309,0.092129,-0.22021,0.76112,0.27633,0.65879,-0.61955,-0.32527
1,1,0.91254,1,1,1,1,1,1,1,51.584,141.52,277.52,460.72,-0.62727,0.33509,0.3317,-0.61985,-0.49517,0.50395,-0.50753,0.49321,-0.70535,0.0035115,0.052895,-0.70687,0.30792,0.63418,-0.6344,-0.31707
1,1,0.83083,1,1,1,1,1,1,1,51.444,140.08,275.14,459.52,-0.62779,0.3396,0.33064,-0.61743,-0.49727,0.50124,-0.50812,0.49324,-0.70373,-0.053611,0.042738,-0.70715,0.30208,0.63826,-0.63221,-0.31887
1,1,0.97123,1,1,1,1,1,1,1,51.733,142.44,279.06,461.52,-0.62302,0.33632,0.33494,-0.62173,-0.49369,0.5057,-0.50719,0.49326,-0.70875,0.03025,0.050559,-0.703,0.31121,0.63181,-0.63543,-0.31655
1,1,1.1412,1,1,1,1,1,1,1,52.04,144.7,283.02,463.61,-0.62116,0.33078,0.33735,-0.62525,-0.48998,0.50985,-0.50642,0.49346,-0.71838,0.081486,0.030525,-0.69018,0.32136,0.62483,-0.63861,-0.31383
1,1,1.1299,1,1,1,1,1,1,1,52.029,144.57,282.78,463.48,-0.62134,0.33103,0.33718,-0.62503,-0.49063,0.50912,-0.50664,0.49335,-0.71834,0.07767,0.031155,-0.69064,0.32072,0.62527,-0.63843,-0.31399
1,1,1.0999,1,1,1,1,1,1,1,52.002,144.2,282.12,463.13,-0.62163,0.33198,0.33684,-0.62442,-0.49106,0.50888,-0.50658,0.49323,-0.71622,0.071421,0.036368,-0.69325,0.31898,0.62645,-0.63789,-0.31449
1,1,0.95667,1,1,1,1,1,1,1,51.689,142.22,278.69,461.32,-0.62419,0.33582,0.33406,-0.6213,-0.49451,0.50468,-0.50752,0.49313,-0.70733,0.02495,0.051605,-0.70456,0.31043,0.63237,-0.6352,-0.31665
1,1,1.1053,1,1,1,1,1,1,1,52.007,144.27,282.24,463.19,-0.6216,0.33179,0.33689,-0.62453,-0.4908,0.50918,-0.50647,0.49329,-0.71697,0.071802,0.034954,-0.69251,0.3193,0.62623,-0.63799,-0.31439
1,1,0.80901,1,1,1,1,1,1,1,51.363,139.66,274.37,459.18,-0.62789,0.34091,0.3303,-0.6168,-0.49773,0.5003,-0.50839,0.49346,-0.70797,-0.10171,0.012637,-0.69877,0.30054,0.63937,-0.63162,-0.31929
1,1,1.0499,1,1,1,1,1,1,1,51.938,143.56,280.97,462.52,-0.62148,0.33429,0.33664,-0.62345,-0.49273,0.50739,-0.50679,0.49289,-0.71346,0.057894,0.043058,-0.69697,0.31584,0.62858,-0.63689,-0.31545
1,1,1.3302,1,1,1,1,1,1,1,52.343,146.67,286.76,465.6,-0.61468,0.33107,0.34256,-0.62865,-0.48632,0.51343,-0.50577,0.49405,-0.72615,0.12207,0.0080977,-0.67657,0.33057,0.61852,-0.64096,-0.31197
1,1,1.2988,1,1,1,1,1,1,1,52.292,146.37,286.18,465.29,-0.61489,0.33175,0.34225,-0.62826,-0.48744,0.51242,-0.50601,0.49374,-0.72512,0.11592,0.011357,-0.6787,0.32904,0.61955,-0.64058,-0.31233
1,1,0.82374,1,1,1,1,1,1,1,51.421,139.94,274.91,459.41,-0.62773,0.34011,0.3306,-0.61724,-0.49786,0.50059,-0.50834,0.49309,-0.70358,-0.063795,0.037255,-0.70677,0.30156,0.63863,-0.632,-0.31904
1,1,1.3701,1,1,1,1,1,1,1,52.397,147.03,287.48,465.99,-0.61484,0.32979,0.34266,-0.62913,-0.48562,0.51404,-0.50573,0.49414,-0.72765,0.12844,0.0029213,-0.67381,0.33255,0.61718,-0.64148,-0.31144
1,1,0.62402,1,1,1,1,1,1,1,50.62,135.32,268.47,455.93,-0.63999,0.34398,0.31967,-0.6082,-0.50192,0.49097,-0.51123,0.49565,0.63741,0.0069105,-0.19267,0.74601,0.28781,0.64919,-0.62612,-0.32202
1,1,1.0292,1,1,1,1,1,1,1,51.896,143.27,280.48,462.27,-0.62132,0.33537,0.33659,-0.62305,-0.49268,0.50724,-0.50685,0.49303,-0.71213,0.051611,0.045907,-0.69865,0.31455,0.62946,-0.63646,-0.31585
1,1,0.875,1,1,1,1,1,1,1,51.532,140.88,276.48,460.18,-0.62803,0.33654,0.33091,-0.61872,-0.49644,0.50237,-0.50797,0.49309,-0.7024,-0.015274,0.053888,-0.70958,0.30541,0.63595,-0.6335,-0.31777
1,1,1.0337,1,1,1,1,1,1,1,51.906,143.34,280.59,462.32,-0.62135,0.33515,0.3366,-0.62313,-0.49244,0.50749,-0.50676,0.4931,-0.71189,0.053882,0.04594,-0.69872,0.31483,0.62927,-0.63655,-0.31577
1,1,0.97641,1,1,1,1,1,1,1,51.749,142.52,279.19,461.59,-0.62265,0.33643,0.33524,-0.62188,-0.49389,0.50568,-0.50715,0.49311,-0.70841,0.033789,0.050978,-0.70315,0.31148,0.63161,-0.63551,-0.31651
1,1,0.80196,1,1,1,1,1,1,1,51.332,139.52,274.06,459.07,-0.62819,0.34107,0.33,-0.61656,-0.49796,0.49977,-0.50864,0.49351,-0.70719,-0.14202,-0.016851,-0.69241,0.3001,0.6397,-0.63144,-0.31939
1,1,0.9057,1,1,1,1,1,1,1,51.573,141.41,277.33,460.62,-0.62752,0.33523,0.33148,-0.61964,-0.49537,0.50357,-0.50771,0.49321,-0.70364,0.0012132,0.053898,-0.70851,0.30749,0.63448,-0.63425,-0.31718
1,1,1.166,1,1,1,1,1,1,1,52.067,144.99,283.55,463.89,-0.6205,0.33047,0.33791,-0.62577,-0.48987,0.5098,-0.50654,0.49351,-0.71998,0.087142,0.026936,-0.68798,0.32268,0.62392,-0.63899,-0.31351
1,1,1.3527,1,1,1,1,1,1,1,52.375,146.88,287.17,465.82,-0.61474,0.33037,0.34265,-0.62893,-0.48649,0.51334,-0.50587,0.49387,-0.72685,0.12615,0.0053288,-0.67509,0.33167,0.61777,-0.64126,-0.31168
1,1,1.0978,1,1,1,1,1,1,1,52,144.17,282.07,463.1,-0.62163,0.33206,0.33683,-0.62438,-0.4912,0.50873,-0.50663,0.4932,-0.71594,0.071071,0.036721,-0.69356,0.31885,0.62654,-0.63785,-0.31453
1,1,1.0733,1,1,1,1,1,1,1,51.973,143.86,281.51,462.81,-0.62164,0.33311,0.33669,-0.6239,-0.49161,0.50844,-0.50655,0.49317,-0.71445,0.064544,0.040115,-0.69555,0.31733,0.62757,-0.63737,-0.31498
1,1,0.9014,1,1,1,1,1,1,1,51.566,141.33,277.22,460.56,-0.62764,0.33535,0.33138,-0.61952,-0.49571,0.50312,-0.50786,0.49317,-0.70445,-0.0030153,0.05227,-0.70782,0.30722,0.63468,-0.63416,-0.31725
1,1,0.87984,1,1,1,1,1,1,1,51.538,140.97,276.61,460.25,-0.628,0.33628,0.33096,-0.61886,-0.49605,0.50287,-0.5078,0.49315,-0.70389,-0.015132,0.052322,-0.70822,0.30575,0.63571,-0.63363,-0.31766
1,1,0.53945,1,1,1,1,1,1,1,50.158,132.73,265.24,454.14,-0.64568,0.34784,0.31413,-0.60284,-0.50339,0.48502,-0.51322,0.49796,0.61935,0.060324,-0.20581,0.75525,0.28122,0.65464,-0.62257,-0.32367
1,1,1.28,1,1,1,1,1,1,1,52.258,146.19,285.83,465.1,-0.6153,0.33191,0.34187,-0.62798,-0.48714,0.51256,-0.50594,0.49396,-0.72442,0.11236,0.013807,-0.68,0.32815,0.62016,-0.64035,-0.31252
1,1,1.1109,1,1,1,1,1,1,1,52.012,144.34,282.36,463.26,-0.62156,0.33159,0.33694,-0.62464,-0.49074,0.50926,-0.50643,0.49332,-0.71704,0.073201,0.034017,-0.69234,0.31963,0.62601,-0.6381,-0.31429
1,1,0.94703,1,1,1,1,1,1,1,51.662,142.07,278.44,461.19,-0.62502,0.33548,0.33344,-0.62099,-0.49459,0.50471,-0.50739,0.49315,-0.7074,0.020796,0.052188,-0.70458,0.3099,0.63275,-0.63505,-0.31671
1,1,1.1537,1,1,1,1,1,1,1,52.053,144.85,283.29,463.75,-0.62087,0.33058,0.3376,-0.62551,-0.48988,0.51001,-0.50635,0.49349,-0.71938,0.083492,0.028028,-0.68901,0.32203,0.62437,-0.63881,-0.31366
1,1,0.50334,1,1,1,1,1,1,1,50.029,131.45,263.62,453.3,-0.64591,0.35276,0.31313,-0.60026,-0.50456,0.48195,-0.51423,0.49871,0.60732,0.083766,-0.21485,0.76025,0.27758,0.65753,-0.6204,-0.32514
1,1,0.84023,1,1,1,1,1,1,1,51.471,140.26,275.44,459.66,-0.6279,0.33887,0.33068,-0.61771,-0.49763,0.50112,-0.50813,0.493,-0.70221,-0.040633,0.047723,-0.70921,0.30278,0.63777,-0.63249,-0.31863
1,1,1.2954,1,1,1,1,1,1,1,52.286,146.34,286.12,465.26,-0.61495,0.33179,0.3422,-0.62821,-0.48747,0.51241,-0.50599,0.49375,-0.72517,0.1149,0.011548,-0.67882,0.32888,0.61966,-0.64054,-0.31237
1,1,0.88786,1,1,1,1,1,1,1,51.548,141.1,276.84,460.37,-0.6279,0.33588,0.3311,-0.61911,-0.49597,0.50302,-0.50772,0.49316,-0.703,-0.0084068,0.053411,-0.70914,0.3063,0.63532,-0.63384,-0.31749
1,1,0.70962,1,1,1,1,1,1,1,51.041,137.52,271.2,457.53,-0.63427,0.3419,0.32489,-0.61258,-0.50073,0.49537,-0.50976,0.49398,0.61391,-0.12698,-0.25304,0.73686,0.2939,0.64437,-0.62895,-0.32068
1,1,0.5142,1,1,1,1,1,1,1,50.088,131.85,264.06,453.55,-0.64604,0.35102,0.31332,-0.60104,-0.5042,0.48291,-0.51389,0.4985,0.61053,0.076127,-0.21271,0.75909,0.27879,0.65659,-0.62114,-0.32459
1,1,1.4851,1,1,1,1,1,1,1,52.489,147.98,289.42,467.04,-0.6149,0.32666,0.34302,-0.6305,-0.48347,0.51566,-0.50556,0.49474,-0.73057,0.14697,-0.010474,-0.66675,0.33808,0.61348,-0.64291,-0.30984
1,1,1.7545,1,1,1,1,1,1,1,52.712,149.81,293.35,469.22,-0.60875,0.32709,0.34777,-0.63364,-0.47931,0.51851,-0.50537,0.49599,-0.73474,0.18327,-0.035633,-0.65215,0.34866,0.60634,-0.64513,-0.30755
