k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44
0.88296,1,1,1,1,1,1,1,1,1,51.816,142.82,279.51,460.97,-0.62161,0.33647,0.33613,-0.62242,-0.49336,0.5062,-0.50709,0.49317,-0.71051,0.036424,0.049343,-0.70101,0.30949,0.634,-0.6339,-0.31692
1.2121,1,1,1,1,1,1,1,1,1,51.826,142.92,280.14,463.15,-0.62147,0.33645,0.33624,-0.62251,-0.49283,0.50682,-0.50696,0.49319,-0.70978,0.049637,0.048433,-0.701,0.31709,0.62613,-0.63868,-0.31545
1.2935,1,1,1,1,1,1,1,1,1,51.828,142.94,280.25,463.53,-0.62145,0.33644,0.33626,-0.62253,-0.49279,0.50688,-0.50696,0.49317,-0.71009,0.051852,0.048253,-0.70054,0.31834,0.62474,-0.63953,-0.31521
1.0802,1,1,1,1,1,1,1,1,1,51.823,142.89,279.93,462.42,-0.62152,0.33646,0.3362,-0.62248,-0.49294,0.50667,-0.50699,0.49322,-0.71065,0.044661,0.048536,-0.70045,0.31463,0.62877,-0.63706,-0.31593
1.0619,1,1,1,1,1,1,1,1,1,51.822,142.88,279.89,462.31,-0.62153,0.33646,0.33619,-0.62247,-0.49296,0.50664,-0.507,0.49322,-0.71062,0.04428,0.048822,-0.70049,0.31424,0.62918,-0.63681,-0.316
1.2579,1,1,1,1,1,1,1,1,1,51.827,142.94,280.2,463.37,-0.62146,0.33644,0.33625,-0.62252,-0.49281,0.50686,-0.50696,0.49318,-0.70986,0.051098,0.048452,-0.70081,0.31781,0.62533,-0.63917,-0.31531
0.62077,1,1,1,1,1,1,1,1,1,51.802,142.67,278.61,457.78,-0.62181,0.33646,0.33597,-0.62231,-0.49469,0.50508,-0.5072,0.49288,-0.71042,0.017235,0.049337,-0.70183,0.29708,0.64537,-0.62714,-0.31928
0.72797,1,1,1,1,1,1,1,1,1,51.809,142.74,279.05,459.34,-0.62171,0.33647,0.33605,-0.62236,-0.49407,0.50557,-0.50718,0.49301,-0.71053,0.026893,0.049742,-0.7014,0.30332,0.63984,-0.63041,-0.31809
0.4909,1,1,1,1,1,1,1,1,1,51.791,142.55,277.84,455.06,-0.62201,0.33643,0.33582,-0.62221,-0.49507,0.50473,-0.5071,0.49295,-0.70945,-0.00035736,0.047646,-0.70314,0.28547,0.65485,-0.62155,-0.32148
0.6849,1,1,1,1,1,1,1,1,1,51.807,142.72,278.89,458.77,-0.62175,0.33646,0.33602,-0.62234,-0.49432,0.50537,-0.5072,0.49295,-0.71029,0.024754,0.050768,-0.70164,0.30107,0.64188,-0.6292,-0.31852
0.83153,1,1,1,1,1,1,1,1,1,51.814,142.8,279.37,460.49,-0.62164,0.33647,0.33611,-0.6224,-0.49356,0.50602,-0.50712,0.49313,-0.71039,0.034667,0.050336,-0.70115,0.30772,0.63572,-0.63287,-0.31726
0.90035,1,1,1,1,1,1,1,1,1,51.817,142.83,279.55,461.12,-0.6216,0.33647,0.33614,-0.62243,-0.49331,0.50626,-0.50708,0.49318,-0.71026,0.037445,0.049329,-0.70121,0.31004,0.63345,-0.63423,-0.31681
0.38396,1,1,1,1,1,1,1,1,1,51.776,142.4,276.83,451.55,-0.62229,0.33638,0.33559,-0.62208,-0.49517,0.50427,-0.50722,0.4932,-0.70905,-0.037906,0.032256,-0.7034,0.26934,0.66662,-0.6146,-0.32456
1.1891,1,1,1,1,1,1,1,1,1,51.825,142.92,280.1,463.03,-0.62148,0.33645,0.33623,-0.62251,-0.49284,0.5068,-0.50697,0.4932,-0.70987,0.048716,0.048336,-0.70098,0.3167,0.62655,-0.63842,-0.31553
0.76528,1,1,1,1,1,1,1,1,1,51.811,142.77,279.17,459.79,-0.62168,0.33647,0.33607,-0.62238,-0.49387,0.50574,-0.50716,0.49306,-0.7097,0.030676,0.050394,-0.70202,0.30505,0.63824,-0.63136,-0.31777
