k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95
0.98971,1,1,1,1,1,1,1,1,1,51.867,142.86,279.77,461.82,501.18,614.1,688.76,922.37,960.99,-0.54812,0.14032,0.43377,0.1349,-0.5479,-0.43373,0.45754,-7.2168e-05,-0.45507,0.43369,-0.32328,0.37119,-0.50739,0.37869,-0.32346,-0.21485,-0.0036428,0.0004008,-0.012653,0.21531,9.2131e-06,1.8314e-05,-7.5788e-06,-3.8184e-05,-1.1333e-05,0.00049377,0.00070344,5.0882e-05,-0.0027104,-0.00079165,0.11032,0.38759,-0.50455,0.37155,0.11028,-0.0038206,-0.021308,0.0059336,0.024148,0.0024507,-0.0065772,-0.49566,-0.0062808,0.49642,0.0091492
1.0221,1,1,1,1,1,1,1,1,1,51.868,142.87,279.83,462.04,501.2,614.34,689.32,923.07,962.21,-0.5481,0.14031,0.43378,0.1349,-0.54791,-0.4337,0.45754,-1.029e-06,-0.45512,0.43372,-0.32339,0.37155,-0.50751,0.37867,-0.3235,-0.21547,-0.0024207,-0.00047947,-0.012207,0.21528,1.1208e-05,1.7744e-05,-7.282e-06,-3.6088e-05,-1.1722e-05,-0.00046525,-0.00073783,-1.2354e-05,0.0026616,0.00077004,-0.11195,-0.38619,0.50488,-0.37252,-0.11014,0.0037813,0.021539,-0.0059039,-0.024408,-0.0024515,0.0096926,0.49686,0.0033138,-0.49654,-0.0087047
1.1392,1,1,1,1,1,1,1,1,1,51.87,142.91,280.04,462.76,501.25,615.07,691.1,925.26,966.08,-0.54805,0.14028,0.4338,0.13492,-0.54793,-0.43361,0.45756,0.00022739,-0.45529,0.4338,0.32372,-0.37268,0.50791,-0.37861,0.32361,0.21742,-0.0014755,0.0032855,0.01078,-0.21521,-1.6357e-05,-1.5795e-05,6.499e-06,2.8679e-05,1.2284e-05,-0.00038212,-0.00083251,9.6604e-05,0.0025182,0.00070722,-0.11705,-0.38167,0.50586,-0.37557,-0.10969,-0.0036901,-0.022176,0.0058474,0.025124,0.0024503,0.019525,0.50048,-0.0061739,-0.49688,-0.0072841
1.0097,1,1,1,1,1,1,1,1,1,51.868,142.87,279.81,461.96,501.19,614.25,689.11,922.81,961.75,-0.54811,0.14031,0.43378,0.1349,-0.5479,-0.43371,0.45754,-2.7805e-05,-0.4551,0.43371,-0.32335,0.37142,-0.50747,0.37868,-0.32349,-0.21524,-0.0028802,-0.00014849,-0.012375,0.21529,1.0477e-05,1.7961e-05,-7.3918e-06,-3.6887e-05,-1.1586e-05,0.00047584,0.00072518,2.6587e-05,-0.0026797,-0.00077806,-0.11134,-0.38672,0.50476,-0.37216,-0.1102,-0.0037954,-0.021454,0.0059144,0.024313,0.0024513,0.0085227,0.49642,0.00443,-0.49649,-0.0088719
1.2228,1,1,1,1,1,1,1,1,1,51.871,142.93,280.16,463.2,501.28,615.5,692.18,926.54,968.44,0.54802,-0.14026,-0.43381,-0.13493,0.54794,-0.43354,0.45757,0.00036781,-0.45539,0.43385,0.3239,-0.37337,0.50815,-0.37857,0.32368,-0.21857,0.0038486,-0.0049945,-0.009909,0.21516,1.8456e-05,1.4594e-05,-6.2331e-06,-2.3513e-05,-1.194e-05,-0.00033702,-0.00088001,0.00015335,0.0024399,0.00067332,-0.12008,-0.37886,0.50642,-0.37742,-0.10942,0.0036568,0.022496,-0.0058384,-0.025484,-0.0024479,0.025423,0.5025,-0.011967,-0.49708,-0.0064165
0.86505,1,1,1,1,1,1,1,1,1,51.864,142.81,279.48,460.81,501.12,613.03,686.25,919.08,955.58,-0.54818,0.14036,0.43375,0.13487,-0.54787,-0.43386,0.45752,-0.00038742,-0.45484,0.43358,-0.32278,0.36961,-0.50682,0.37877,-0.3233,-0.21198,-0.0091057,0.0043362,-0.014645,0.21542,-1.568e-06,2.0424e-05,-8.9818e-06,-4.6538e-05,-8.8247e-06,-0.00063647,-0.00051947,-0.00025061,0.0029514,0.00089985,-0.10286,-0.39372,0.50302,-0.3672,-0.1109,-0.0040716,-0.02007,0.0061481,0.022745,0.0024367,-0.0074801,0.48986,0.019467,-0.4959,-0.011127
1.1144,1,1,1,1,1,1,1,1,1,51.869,142.9,280,462.62,501.24,614.92,690.75,924.84,965.32,-0.54806,0.14029,0.43379,0.13492,-0.54792,-0.43363,0.45756,0.00018233,-0.45525,0.43378,0.32365,-0.37246,0.50783,-0.37862,0.32359,-0.21704,0.00071042,-0.0027345,-0.011061,0.21522,-1.5503e-05,-1.6187e-05,6.6255e-06,3.023e-05,1.2271e-05,0.00039754,0.00081563,-7.681e-05,-0.0025449,-0.00071884,-0.11606,-0.38256,0.50567,-0.37498,-0.10978,-0.0037042,-0.022062,0.0058542,0.024996,0.0024509,0.017607,0.4998,-0.0043081,-0.49682,-0.0075634
0.9678,1,1,1,1,1,1,1,1,1,51.867,142.85,279.72,461.66,501.17,613.94,688.36,921.86,960.13,-0.54813,0.14033,0.43377,0.13489,-0.54789,-0.43375,0.45754,-0.00012257,-0.45503,0.43367,-0.3232,0.37094,-0.5073,0.3787,-0.32344,0.2144,0.0045111,-0.0010262,0.01297,-0.21533,7.6969e-06,1.87e-05,-7.7975e-06,-3.9618e-05,-1.101e-05,0.00051476,0.00067757,7.9579e-05,-0.0027462,-0.00080756,0.10916,0.38858,-0.50432,0.37087,0.11038,-0.003852,-0.021134,0.0059585,0.023952,0.0024497,-0.0043563,-0.49478,-0.0083855,0.49634,0.0094645
1.1069,1,1,1,1,1,1,1,1,1,51.869,142.9,279.98,462.58,501.24,614.88,690.64,924.71,965.09,-0.54806,0.14029,0.43379,0.13492,-0.54792,-0.43363,0.45756,0.00016853,-0.45524,0.43378,0.32363,-0.37239,0.50781,-0.37863,0.32358,0.21692,-0.00047578,0.0025655,0.011147,-0.21523,-1.5225e-05,-1.6306e-05,6.6675e-06,3.0696e-05,1.2256e-05,0.00040235,0.00081029,-7.0587e-05,-0.0025532,-0.00072248,-0.11576,-0.38284,0.50561,-0.37479,-0.10981,-0.0037089,-0.022026,0.0058567,0.024956,0.0024511,0.017018,0.49959,-0.0037361,-0.4968,-0.0076491
0.80771,1,1,1,1,1,1,1,1,1,51.863,142.79,279.32,460.25,501.09,612.42,684.86,917.17,952.61,0.54822,-0.14039,-0.43373,-0.13486,0.54785,-0.43392,0.4575,-0.00055981,-0.45472,0.43352,-0.32249,0.36873,-0.50651,0.37881,-0.32321,0.21034,0.012124,-0.0065109,0.015743,-0.21547,8.6679e-06,-2.1207e-05,9.7117e-06,5.0591e-05,7.1211e-06,-0.00072668,-0.00039501,-0.00038138,0.0031007,0.00096809,-0.098628,-0.39703,0.50212,-0.36477,-0.11124,-0.0042719,-0.019235,0.0063321,0.021785,0.0024197,0.015308,-0.4864,-0.026684,0.4956,0.012211
