,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,53.702,153.85,268.72,449.02,509.66,680.05,698.53,1025.1,990.51,-0.6356,0.14993,0.4846,0.15156,-0.56189,-0.51569,0.50125,-5.6295e-05,-0.52426,0.45603,-0.39294,0.4158,-0.59412,0.44591,-0.34768,-0.748,-0.010406,0.00038742,-0.042154,0.66228,0.22948,0.38815,-0.16744,-0.84447,-0.23563,-0.17163,-0.23337,-0.013026,0.92492,0.24583,-0.15444,-0.49696,0.67733,-0.50195,-0.13582,-0.12092,-0.62581,0.18124,0.74576,0.068845,-0.011434,-0.68872,-0.007723,0.7248,0.012
3,1,1,1,1,1,1,1,1,1,1,46.741,146.72,246.77,435.52,484.09,613.82,697.98,884.57,930.66,-0.57966,0.16309,0.48996,0.15485,-0.61102,-0.45868,0.53179,-5.5512e-05,-0.52239,0.48365,-0.35067,0.4426,-0.58781,0.44581,-0.36996,-0.68699,-0.011399,0.00039448,-0.043373,0.72528,0.2032,0.40995,-0.16437,-0.8377,-0.24878,-0.15249,-0.24732,-0.012831,0.92065,0.26044,-0.13642,-0.52361,0.66333,-0.49674,-0.14306,-0.10537,-0.65046,0.17509,0.72803,0.071533,-0.0098973,-0.7111,-0.0074116,0.70288,0.012386
5,1,1,1,1,1,1,1,1,1,1,51.479,143.51,297.6,456.68,531.45,620.65,645.29,899.75,1109.9,-0.59926,0.16136,0.45602,0.14805,-0.62047,-0.47602,0.52817,-5.1865e-05,-0.50137,0.49302,-0.37287,0.4504,-0.56269,0.43839,-0.3864,-0.69354,-0.011014,0.00035853,-0.040494,0.7192,0.21698,0.41894,-0.15802,-0.82725,-0.26094,-0.16351,-0.25379,-0.012387,0.91294,0.2743,-0.14735,-0.54127,0.64503,-0.4962,-0.15178,-0.11222,-0.66295,0.16787,0.71703,0.074827,-0.010515,-0.72301,-0.007089,0.6906,0.012926
7,1,1,1,1,1,1,1,1,1,1,56.513,153.21,250.83,480.21,550.81,579.92,686.54,865.9,960.12,-0.64214,0.1527,0.44403,0.14252,-0.58895,-0.52007,0.50962,-5.1491e-05,-0.49209,0.47714,-0.40904,0.43636,-0.56092,0.43203,-0.37548,-0.73586,-0.01032,0.00034567,-0.038598,0.67595,0.24104,0.41101,-0.15951,-0.82558,-0.25678,-0.18181,-0.24923,-0.012516,0.91196,0.27018,-0.16367,-0.53095,0.65104,-0.49512,-0.14934,-0.12562,-0.65542,0.17077,0.7211,0.074201,-0.011809,-0.71708,-0.0072343,0.69673,0.012858
9,1,1,1,1,1,1,1,1,1,1,47.74,145.44,292.67,505.72,523.81,577.37,639.4,858.26,1012.5,-0.61119,0.14542,0.46741,0.15,-0.60359,-0.49801,0.48828,-5.4532e-05,-0.52107,0.49198,-0.38403,0.40991,-0.58243,0.44853,-0.37959,-0.71033,-0.0099679,0.00036903,-0.041201,0.70259,0.22301,0.38049,-0.16322,-0.84464,-0.25581,-0.16618,-0.22793,-0.012651,0.92172,0.2659,-0.15242,-0.49474,0.67053,-0.50987,-0.14975,-0.11851,-0.61864,0.17816,0.75221,0.07537,-0.011214,-0.6814,-0.0075981,0.73167,0.013149
11,1,1,1,1,1,1,1,1,1,1,49.942,139.76,282.75,478.64,484.35,636.79,698.52,943.65,920.1,-0.60044,0.15171,0.47619,0.13618,-0.60922,-0.49696,0.51743,-5.6431e-05,-0.48052,0.50439,-0.3792,0.42982,-0.59638,0.40928,-0.38508,-0.70087,-0.010444,0.0003776,-0.037568,0.71222,0.23251,0.42126,-0.17647,-0.81379,-0.27401,-0.17649,-0.25706,-0.013934,0.90465,0.29014,-0.1503,-0.51806,0.68567,-0.46462,-0.15171,-0.12039,-0.66739,0.18769,0.70617,0.078665,-0.011322,-0.73051,-0.0079547,0.68262,0.013638
13,1,1,1,1,1,1,1,1,1,1,49.426,139.4,267.78,478.98,482.74,621.87,685.75,938.81,938.06,-0.61996,0.16573,0.46667,0.14935,-0.58999,-0.48944,0.53914,-5.2752e-05,-0.50267,0.46593,-0.38102,0.45692,-0.56879,0.43682,-0.36292,-0.7232,-0.011402,0.00036982,-0.041175,0.68931,0.2223,0.42611,-0.16014,-0.82643,-0.24572,-0.16807,-0.25899,-0.012595,0.91507,0.25916,-0.14953,-0.54528,0.64747,-0.49098,-0.14156,-0.11412,-0.66932,0.16888,0.71104,0.069944,-0.010682,-0.72918,-0.0071237,0.68409,0.012069
15,1,1,1,1,1,1,1,1,1,1,51.931,140.04,277.76,427.79,498,593.58,657.89,920.43,902.36,-0.64463,0.16034,0.50649,0.14047,-0.53149,-0.52751,0.54066,-5.9344e-05,-0.49004,0.43507,-0.39439,0.44006,-0.61452,0.40897,-0.32545,-0.77042,-0.011301,0.00041122,-0.039675,0.6362,0.24274,0.43293,-0.18252,-0.81627,-0.23246,-0.18538,-0.26579,-0.0145,0.91293,0.24765,-0.15351,-0.52087,0.69383,-0.45593,-0.12592,-0.12384,-0.67579,0.19128,0.6979,0.065756,-0.011631,-0.73874,-0.0080961,0.67375,0.011385
17,1,1,1,1,1,1,1,1,1,1,56.529,141.49,297.75,477.82,488.24,587.84,732.25,886.31,1002.5,-0.61319,0.16192,0.47866,0.16567,-0.58415,-0.47571,0.51763,-5.317e-05,-0.54794,0.45333,-0.36856,0.43659,-0.57054,0.47387,-0.35141,-0.72269,-0.011255,0.00038324,-0.046145,0.68954,0.20519,0.38852,-0.15329,-0.85551,-0.22704,-0.15252,-0.23216,-0.011852,0.93128,0.23541,-0.14344,-0.51673,0.64413,-0.52824,-0.13595,-0.10776,-0.62429,0.16536,0.75295,0.06611,-0.010149,-0.68437,-0.0070189,0.72894,0.011479
19,1,1,1,1,1,1,1,1,1,1,48.032,129.38,272.02,436.14,502.43,627.06,675.15,907.34,870.42,-0.60701,0.14926,0.47738,0.15723,-0.59719,-0.4871,0.49355,-5.485e-05,-0.5379,0.47938,-0.37429,0.41286,-0.58375,0.46137,-0.36855,-0.71159,-0.010319,0.00038017,-0.043561,0.70117,0.2134,0.37626,-0.16061,-0.85301,-0.24385,-0.15846,-0.22461,-0.012406,0.92762,0.25259,-0.14722,-0.49382,0.66601,-0.51975,-0.14409,-0.11339,-0.61173,0.17531,0.75963,0.071845,-0.010729,-0.67369,-0.0074755,0.73879,0.012532
