t,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95,
1,1,1,1,1,1,1,1,1,1,1,55.737,154.01,265.67,444.02,497.7,609.42,645.1,940.08,981.58,-0.60472,0.14002,0.45824,0.1445,-0.61955,-0.5001,0.47716,-5.426e-05,-0.50945,0.51252,-0.38686,0.40184,-0.58136,0.43991,-0.39669,-0.69736,-0.0095231,0.00035899,-0.039382,0.71557,0.22765,0.37797,-0.16509,-0.83945,-0.27089,-0.16975,-0.22657,-0.012805,0.91668,0.28177,-0.155,-0.48959,0.67564,-0.50481,-0.15798,-0.12158,-0.61763,0.18111,0.75134,0.080217,-0.011521,-0.68121,-0.0077344,0.73182,0.014013
3,1,1,1,1,1,1,1,1,1,1,52.446,139.87,287.96,481.61,500.2,617.08,710.33,924.01,1012.8,-0.63187,0.16652,0.48278,0.16294,-0.5598,-0.4895,0.53159,-5.3551e-05,-0.53815,0.43381,-0.37834,0.4473,-0.57327,0.46431,-0.33549,-0.74716,-0.011613,0.00038781,-0.045536,0.66298,0.21319,0.40288,-0.15589,-0.84841,-0.21938,-0.15944,-0.24221,-0.012127,0.92919,0.22886,-0.14685,-0.52794,0.64541,-0.51614,-0.12943,-0.11077,-0.6405,0.16638,0.73879,0.063203,-0.010408,-0.70045,-0.0070453,0.7135,0.010947
5,1,1,1,1,1,1,1,1,1,1,50.072,158.32,302.95,438.59,486.58,593.18,708.27,998.49,954.87,-0.61676,0.14653,0.46665,0.1357,-0.60163,-0.51363,0.50285,-5.5644e-05,-0.4818,0.50119,-0.39414,0.42009,-0.59141,0.41271,-0.38482,-0.71476,-0.010015,0.00036739,-0.037168,0.69831,0.24084,0.41031,-0.17439,-0.81778,-0.27288,-0.18225,-0.2496,-0.013728,0.90627,0.28805,-0.15736,-0.51002,0.6849,-0.47192,-0.15271,-0.12583,-0.65589,0.18716,0.71603,0.079047,-0.011864,-0.71977,-0.0079525,0.69393,0.01374
7,1,1,1,1,1,1,1,1,1,1,48.639,146.13,266.68,467.66,480.84,608.02,732.88,923.32,886.3,-0.56473,0.16236,0.47362,0.13808,-0.64136,-0.45736,0.54183,-5.492e-05,-0.47674,0.51958,-0.3519,0.45385,-0.58527,0.40946,-0.39999,-0.65975,-0.011186,0.00037588,-0.038124,0.75044,0.21383,0.44081,-0.17162,-0.80682,-0.28206,-0.16292,-0.27,-0.013602,0.90028,0.29979,-0.13862,-0.54367,0.66877,-0.46198,-0.15662,-0.10909,-0.68811,0.17986,0.68985,0.079789,-0.010196,-0.74859,-0.0075761,0.66277,0.013748
9,1,1,1,1,1,1,1,1,1,1,54.747,133.47,282.98,444.35,511.37,610.47,681.6,874.76,1026.1,-0.60321,0.16375,0.46722,0.14191,-0.60901,-0.48352,0.54088,-5.3623e-05,-0.48497,0.48833,-0.37484,0.45648,-0.57577,0.41967,-0.37878,-0.70258,-0.011248,0.00036969,-0.039064,0.71044,0.2242,0.43641,-0.16619,-0.81397,-0.26291,-0.1705,-0.2668,-0.013147,0.90653,0.2789,-0.14767,-0.54686,0.65796,-0.47353,-0.14832,-0.11453,-0.68213,0.17439,0.69687,0.074468,-0.010709,-0.74236,-0.0073485,0.66976,0.012836
11,1,1,1,1,1,1,1,1,1,1,54.216,140.12,261.83,435.74,539.66,644.57,648.63,913.91,976.32,-0.60066,0.15062,0.46937,0.15802,-0.6093,-0.47917,0.49512,-5.3612e-05,-0.53743,0.48623,-0.371,0.41734,-0.57493,0.46449,-0.37667,-0.70078,-0.010364,0.00037201,-0.043571,0.71197,0.21006,0.3777,-0.15709,-0.85281,-0.24749,-0.15589,-0.22534,-0.012127,0.92689,0.25622,-0.1462,-0.50012,0.65719,-0.52425,-0.14754,-0.11156,-0.61376,0.17138,0.75906,0.072881,-0.010544,-0.67518,-0.0072997,0.73743,0.012699
13,1,1,1,1,1,1,1,1,1,1,50.872,142.6,266.14,477.04,526.09,613.25,696.86,886.87,938.26,-0.61123,0.16751,0.46477,0.15462,-0.59868,-0.47682,0.53848,-5.1913e-05,-0.51423,0.46717,-0.37279,0.45832,-0.56215,0.44878,-0.36545,-0.71317,-0.011527,0.00036839,-0.042637,0.6996,0.21356,0.41969,-0.15541,-0.83371,-0.24296,-0.16074,-0.25393,-0.012167,0.91895,0.25508,-0.14594,-0.54564,0.63838,-0.50322,-0.14221,-0.11003,-0.66163,0.16448,0.71991,0.069408,-0.010301,-0.72095,-0.0069398,0.69277,0.011979
15,1,1,1,1,1,1,1,1,1,1,51.936,143.73,249.77,445.89,550.5,646.31,683.25,895.85,950.95,-0.60662,0.16255,0.47509,0.15864,-0.59558,-0.47529,0.5248,-5.3297e-05,-0.5299,0.46679,-0.36832,0.44274,-0.57204,0.45837,-0.36193,-0.71229,-0.011256,0.00037896,-0.044022,0.70041,0.20924,0.40204,-0.15683,-0.84443,-0.23861,-0.15646,-0.24166,-0.012198,0.92468,0.24888,-0.14386,-0.52588,0.64812,-0.51279,-0.14051,-0.10906,-0.64116,0.16791,0.73762,0.068957,-0.01025,-0.70137,-0.007112,0.71258,0.011948
17,1,1,1,1,1,1,1,1,1,1,48.99,151.01,292.84,448.27,535.81,604.83,695.68,976.05,962.97,-0.62726,0.14645,0.49602,0.14478,-0.56401,-0.51967,0.49997,-5.884e-05,-0.51136,0.46742,-0.39006,0.40854,-0.61169,0.42844,-0.35103,-0.74244,-0.010223,0.00039884,-0.040499,0.66861,0.23471,0.39294,-0.17762,-0.83599,-0.24512,-0.17636,-0.23736,-0.013884,0.91997,0.25694,-0.15333,-0.48837,0.69749,-0.48237,-0.13716,-0.12344,-0.63233,0.1919,0.73687,0.071482,-0.011686,-0.69676,-0.0081873,0.71705,0.012475
19,1,1,1,1,1,1,1,1,1,1,49.552,149.36,284.44,427.66,531.12,610.15,703.28,984.53,905.44,-0.57316,0.17281,0.50377,0.15943,-0.60202,-0.44482,0.55265,-5.598e-05,-0.52751,0.46738,-0.33854,0.4579,-0.59009,0.44815,-0.3559,-0.68821,-0.012238,0.00041092,-0.045243,0.724,0.19501,0.42159,-0.16403,-0.83709,-0.23791,-0.14673,-0.25502,-0.012839,0.92245,0.24972,-0.13025,-0.53571,0.65853,-0.49382,-0.1361,-0.10002,-0.66164,0.17282,0.71957,0.067659,-0.0093661,-0.72113,-0.0072933,0.6926,0.01168
