,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,53.086,148.2,293.65,483.16,470.45,639.28,759.74,969.97,935.8,-0.62611,0.13449,0.466,0.13637,-0.5951,-0.53077,0.46979,-5.6563e-05,-0.49286,0.50465,-0.40533,0.39058,-0.59828,0.42015,-0.3856,-0.72376,-0.0091686,0.00036595,-0.037257,0.68899,0.24696,0.38037,-0.1759,-0.8301,-0.27263,-0.18524,-0.22937,-0.013725,0.91187,0.28527,-0.16303,-0.47771,0.698,-0.484,-0.15415,-0.13192,-0.62171,0.19303,0.74316,0.080753,-0.012535,-0.68757,-0.0082656,0.72582,0.014145
3,1,1,1,1,1,1,1,1,1,1,51.411,140.76,259.53,491.26,520.06,606.27,681.28,951.39,1001.1,-0.5526,0.16542,0.47882,0.15668,-0.64301,-0.43285,0.53392,-5.37e-05,-0.5232,0.50382,-0.33458,0.4493,-0.57493,0.45145,-0.38966,-0.65053,-0.011485,0.00038292,-0.043591,0.75814,0.19151,0.41107,-0.15881,-0.83793,-0.25883,-0.14345,-0.24752,-0.012373,0.91917,0.27044,-0.13042,-0.53257,0.65005,-0.504,-0.15097,-0.099323,-0.65231,0.16919,0.72832,0.07443,-0.0093138,-0.71196,-0.0071498,0.70201,0.012867
5,1,1,1,1,1,1,1,1,1,1,53.556,138.14,270.39,475.01,474.9,578.43,640.51,804.13,928.03,-0.5897,0.15239,0.43612,0.15622,-0.64376,-0.46615,0.4964,-4.9361e-05,-0.52646,0.50905,-0.37067,0.42972,-0.54364,0.4673,-0.40501,-0.67426,-0.010276,0.00033875,-0.042213,0.73721,0.20737,0.38426,-0.14677,-0.84774,-0.26294,-0.15394,-0.22932,-0.011334,0.92165,0.27229,-0.14785,-0.52124,0.62901,-0.53386,-0.16057,-0.10997,-0.62349,0.15988,0.75341,0.077312,-0.01036,-0.68366,-0.0067878,0.72957,0.013427
7,1,1,1,1,1,1,1,1,1,1,55.589,135.28,269.6,456.07,521.08,632,652.66,968.93,967.67,-0.58215,0.15843,0.46847,0.15742,-0.62591,-0.45915,0.5149,-5.2904e-05,-0.52933,0.49383,-0.35689,0.4357,-0.56954,0.45926,-0.38405,-0.67979,-0.010911,0.00037163,-0.043444,0.73203,0.20255,0.39526,-0.15599,-0.84524,-0.25295,-0.15101,-0.2369,-0.012098,0.92289,0.26307,-0.14011,-0.52016,0.64859,-0.51641,-0.14987,-0.10627,-0.63453,0.16812,0.74323,0.073586,-0.0099998,-0.69494,-0.0071293,0.71885,0.012765
9,1,1,1,1,1,1,1,1,1,1,48.619,134.37,290.38,466.31,526.44,679.34,673.48,922.54,951.9,-0.60578,0.14694,0.45918,0.15048,-0.61478,-0.4908,0.49059,-5.3268e-05,-0.51978,0.49826,-0.38144,0.41507,-0.57339,0.45092,-0.38745,-0.70069,-0.010024,0.00036081,-0.041136,0.71221,0.22013,0.38289,-0.15969,-0.84387,-0.25948,-0.16399,-0.22931,-0.012375,0.92068,0.26966,-0.15171,-0.50203,0.66153,-0.51368,-0.15317,-0.11684,-0.62184,0.17411,0.75068,0.076367,-0.011043,-0.68402,-0.0074157,0.72922,0.013305
11,1,1,1,1,1,1,1,1,1,1,50.924,139.24,271.78,473.23,542.34,609.49,682.65,1006.9,901.67,-0.59123,0.14564,0.50174,0.13887,-0.5985,-0.49638,0.50385,-6.0314e-05,-0.49707,0.50265,-0.36937,0.40817,-0.62163,0.41289,-0.37424,-0.70165,-0.010193,0.0004045,-0.03895,0.71138,0.22762,0.40205,-0.18486,-0.82508,-0.26763,-0.17177,-0.2439,-0.014511,0.91183,0.28173,-0.14527,-0.48815,0.70915,-0.46508,-0.1463,-0.11925,-0.64448,0.19894,0.72443,0.077743,-0.01128,-0.70956,-0.0084809,0.70437,0.013557
13,1,1,1,1,1,1,1,1,1,1,49.416,134.92,305.21,455.84,488.41,629.6,649.75,909.6,1034.9,-0.59278,0.15677,0.48713,0.13347,-0.60739,-0.49031,0.53434,-5.7691e-05,-0.47066,0.50256,-0.37105,0.44022,-0.60469,0.39759,-0.38053,-0.69736,-0.010877,0.00038931,-0.037109,0.71567,0.23122,0.43848,-0.18184,-0.80342,-0.27518,-0.17683,-0.26958,-0.014466,0.89982,0.29357,-0.14614,-0.52726,0.69086,-0.44851,-0.14897,-0.11816,-0.68562,0.19089,0.68808,0.077972,-0.011079,-0.74823,-0.0080661,0.66316,0.013478
15,1,1,1,1,1,1,1,1,1,1,51.406,133.25,284.4,438.24,527.27,592.29,645.51,956.42,988.67,-0.6053,0.16603,0.45967,0.14482,-0.61137,-0.48009,0.54263,-5.2202e-05,-0.48968,0.48506,-0.37528,0.46178,-0.56518,0.42728,-0.37938,-0.70242,-0.011363,0.00036237,-0.039716,0.71056,0.22138,0.43542,-0.16089,-0.81735,-0.25971,-0.16803,-0.26567,-0.012703,0.90852,0.27497,-0.14788,-0.55334,0.64601,-0.48223,-0.14859,-0.11312,-0.68073,0.16887,0.69992,0.073578,-0.010568,-0.74021,-0.00711,0.67213,0.012672
17,1,1,1,1,1,1,1,1,1,1,50.905,142.39,263.68,489.6,478.43,566.4,666.24,925.42,965.79,-0.61924,0.16276,0.47874,0.14258,-0.58355,-0.49843,0.53982,-5.5173e-05,-0.48928,0.46985,-0.38261,0.45112,-0.5866,0.41925,-0.36087,-0.72662,-0.011263,0.00038162,-0.039541,0.6858,0.22988,0.43324,-0.17008,-0.81683,-0.25161,-0.17484,-0.2649,-0.013456,0.90984,0.26696,-0.15014,-0.53832,0.66771,-0.4712,-0.14075,-0.11753,-0.67774,0.17862,0.6999,0.071328,-0.011007,-0.73875,-0.0075389,0.67374,0.012314
19,1,1,1,1,1,1,1,1,1,1,52.123,144.61,287.24,443.16,487.04,624.2,696.35,961.51,930.89,-0.5802,0.16005,0.49646,0.1441,-0.6087,-0.47064,0.53497,-5.7662e-05,-0.49834,0.49392,-0.35555,0.43998,-0.60334,0.42024,-0.37334,-0.68879,-0.011206,0.00040038,-0.04043,0.72375,0.21438,0.42405,-0.17556,-0.82168,-0.26124,-0.16237,-0.25818,-0.013831,0.91138,0.276,-0.13876,-0.52215,0.683,-0.46973,-0.14482,-0.11031,-0.66763,0.18556,0.7086,0.074534,-0.010356,-0.72949,-0.0078506,0.68375,0.012899
